ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2022-11-03,568.4212939333428,536.8860971865519,596.946639470694,568.1797400829252,568.6755686975297,-0.314375685257637,-0.314375685257637,-0.314375685257637,0.7127744359932279,0.7127744359932279,0.7127744359932279,-1.027150121250865,-1.027150121250865,-1.027150121250865,0.0,0.0,0.0,568.1069182480851
2022-11-04,568.4231744311173,537.0074443771397,600.5274840997154,568.1788746843002,568.6792531263171,1.0090711622754085,1.0090711622754085,1.0090711622754085,1.9097870079577455,1.9097870079577455,1.9097870079577455,-0.9007158456823369,-0.9007158456823369,-0.9007158456823369,0.0,0.0,0.0,569.4322455933927
2022-11-05,568.4250549288919,539.9086903339405,600.9417784521687,568.1777862035566,568.6829375551046,0.009119682845926444,0.009119682845926444,0.009119682845926444,0.8124879209115895,0.8124879209115895,0.8124879209115895,-0.8033682380656629,-0.8033682380656629,-0.8033682380656629,0.0,0.0,0.0,568.4341746117378
2022-11-06,568.4269354266664,536.7706447206344,597.6867824071314,568.1764746406941,568.687649734609,-0.7247983439773252,-0.7247983439773252,-0.7247983439773252,0.016164641073604193,0.016164641073604193,0.016164641073604193,-0.7409629850509295,-0.7409629850509295,-0.7409629850509295,0.0,0.0,0.0,567.7021370826891
2022-11-07,568.428815924441,535.4299414533338,598.2927742493199,568.1762777177505,568.6921875879281,-1.885033545604603,-1.885033545604603,-1.885033545604603,-1.1672393741201088,-1.1672393741201088,-1.1672393741201088,-0.7177941714844942,-0.7177941714844942,-0.7177941714844942,0.0,0.0,0.0,566.5437823788363
2022-11-08,568.4306964222156,537.2923003737687,599.5894607103871,568.1770259111748,568.6965285174298,-0.9006804794869275,-0.9006804794869275,-0.9006804794869275,-0.1642237958265218,-0.1642237958265218,-0.1642237958265218,-0.7364566836604057,-0.7364566836604057,-0.7364566836604057,0.0,0.0,0.0,567.5300159427287
2022-11-09,568.4325769199902,533.8531265346252,595.318223716622,568.1769144146136,568.7003538347134,-2.9175121472757213,-2.9175121472757213,-2.9175121472757213,-2.1197508359920683,-2.1197508359920683,-2.1197508359920683,-0.7977613112836528,-0.7977613112836528,-0.7977613112836528,0.0,0.0,0.0,565.5150647727145
2022-11-10,568.4344574177647,538.1488511561366,600.1006230025757,568.1762523118086,568.7056036707664,-0.18793087338338824,-0.18793087338338824,-0.18793087338338824,0.7127744359940608,0.7127744359940608,0.7127744359940608,-0.900705309377449,-0.900705309377449,-0.900705309377449,0.0,0.0,0.0,568.2465265443814
2022-11-11,568.4363379155393,539.1161933594339,600.2779537261101,568.1747399026922,568.7111084373515,0.8672874438456805,0.8672874438456805,0.8672874438456805,1.909787007953872,1.909787007953872,1.909787007953872,-1.0424995641081916,-1.0424995641081916,-1.0424995641081916,0.0,0.0,0.0,569.303625359385
2022-11-12,568.438218413314,538.3017116141378,600.8918499988821,568.1729046356083,568.715269498269,-0.40616392525685113,-0.40616392525685113,-0.40616392525685113,0.8124879209168318,0.8124879209168318,0.8124879209168318,-1.2186518461736828,-1.2186518461736828,-1.2186518461736828,0.0,0.0,0.0,568.0320544880572
2022-11-13,568.4400989110885,535.8648448037087,597.718149552116,568.1708666634407,568.7193911216456,-1.4069393392710516,-1.4069393392710516,-1.4069393392710516,0.016164641069935946,0.016164641069935946,0.016164641069935946,-1.4231039803409875,-1.4231039803409875,-1.4231039803409875,0.0,0.0,0.0,567.0331595718175
2022-11-14,568.4419794088631,535.943649120371,596.9962702344299,568.1692702960108,568.723512745022,-2.8156585322857755,-2.8156585322857755,-2.8156585322857755,-1.1672393741205016,-1.1672393741205016,-1.1672393741205016,-1.6484191581652736,-1.6484191581652736,-1.6484191581652736,0.0,0.0,0.0,565.6263208765773
2022-11-15,568.4438599066376,534.8427947609428,597.8433951713149,568.1693393776527,568.7276343683985,-2.050237915793003,-2.050237915793003,-2.050237915793003,-0.1642237958275182,-0.1642237958275182,-0.1642237958275182,-1.8860141199654847,-1.8860141199654847,-1.8860141199654847,0.0,0.0,0.0,566.3936219908446
2022-11-16,568.4457404044122,532.5184008088875,595.5597559379923,568.1674171382147,568.7324432988887,-4.246180412109792,-4.246180412109792,-4.246180412109792,-2.1197508359911326,-2.1197508359911326,-2.1197508359911326,-2.12642957611866,-2.12642957611866,-2.12642957611866,0.0,0.0,0.0,564.1995599923024
2022-11-17,568.4476209021867,535.9598601381804,598.4510758977046,568.1670392557667,568.7373831342176,-1.6468566310059856,-1.6468566310059856,-1.6468566310059856,0.7127744359993391,0.7127744359993391,0.7127744359993391,-2.3596310670053247,-2.3596310670053247,-2.3596310670053247,0.0,0.0,0.0,566.8007642711807
